epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.1020176204634302,1.0479157547796927,0.5793814432989691,0.2715301053031924
2,1.000863656095026,0.949828972739558,0.5938144329896907,0.24838292367399742
3,0.9357313322432247,0.9012938584050825,0.5938144329896907,0.24838292367399742
4,0.8795990146727228,0.8517427098366522,0.6515463917525773,0.3853968253968254
5,0.8266788024470639,0.8010454639311759,0.6721649484536083,0.4174339300937766
6,0.7683464126822389,0.7630930341059162,0.6639175257731958,0.4339307048984469
7,0.7018445183220223,0.7210140545522014,0.6783505154639176,0.4563852641661099
8,0.6540812458153125,0.6927600666399925,0.6969072164948453,0.4882801205640872
9,0.6132691584742118,0.6729572944102749,0.7051546391752578,0.5211426116125918
10,0.5730250956099711,0.6619962386546596,0.7360824742268042,0.6577050485834213
11,0.5449344378439978,0.6435788975607964,0.7463917525773196,0.6664326257115114
12,0.5120185687218184,0.6212660256893404,0.7443298969072165,0.6621170023554296
13,0.4813575902838766,0.6093084879459874,0.756701030927835,0.7035152422740762
14,0.4550385975849972,0.5981584200935979,0.7752577319587629,0.7266014235186113
15,0.42178688373094725,0.5721962721117081,0.7793814432989691,0.7402316704028774
16,0.3884677450965952,0.5609404454308171,0.7938144329896907,0.7476065146416508
17,0.36475892380309205,0.5504584995008284,0.7938144329896907,0.7572642926944186
18,0.34168147294180384,0.5651463183664507,0.7814432989690722,0.7413622499924907
19,0.3248035214504097,0.561117103984279,0.7876288659793814,0.7512093494947139
20,0.30180898103326437,0.5648030432001236,0.7938144329896907,0.7517108804306036
21,0.290782918961941,0.5825793464337626,0.7855670103092783,0.7468441731630401
22,0.2740651202146654,0.580771352014234,0.7938144329896907,0.759630094438087
23,0.2607694378452291,0.6040984570018707,0.7835051546391752,0.7464580129438593
24,0.25124086041018795,0.6188306039379489,0.7835051546391752,0.7446000312026558
25,0.2426090220242371,0.6251229038161616,0.7855670103092783,0.7520832304443094
26,0.2222297138729949,0.6327273605331298,0.7876288659793814,0.750586696079209
27,0.21931950910469142,0.6432929495649953,0.7793814432989691,0.7433233545529992
